wo_number,outplant_date,work_dept,sub_contractor,uom,est_qty,actual_qty,qty_variance,est_cost,job_cost,cost_variance,description,source_tier,source_file
10000.1,2020-12-22,,PO#19282-1 NAGLE SIG,,,1.0,,,225.0,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,,,PO#19282-1 NAGLE SIG  EA,,,1,1,,225.0,225.0,"Bend returns for Anna Dolce. 3.5"" B",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.1,,0600,TEMPLATE              EA,,19,0,-19,48.45,0.0,-48.45,Mounting Pattern,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.2,2020-12-22,,PO#19282-2 NAGLE SIG,,,1.0,,,225.0,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.2,,,PO#19282-2 NAGLE SIG  EA,,,1,1,,225.0,225.0,"Bend returns for Anna Dolce.  3.5""",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10000.2,,0600,TEMPLATE              EA,,19,0,-19,48.45,0.0,-48.45,Mounting Pattern,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10001.1,2020-12-22,,PO#19345-1 BTI SPECI,,,1.0,,,2650.0,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10001.1,,,PO#19345-1 BTI SPECI  EA,,,1,1,,2650.0,2650.0,shipping for cat scale.,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,2021-02-19,,8412068 BTI LOGISTIC,,,0.0,,,2100.0,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,,,8412068 BTI LOGISTIC,,,0,0,,2100.0,2100.0,shipping for cat scale canopy to ka,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,,0200,10X10                 FT,,40,0,-40,1775.2,0.0,-1775.2,State Steel - 10 x 10 x 1/2 steel t,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,,0200,14GA                  EA,,4,0,-4,288.0,0.0,-288.0,State Steel - 14ga x 48 x 120,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,,0200,2998T53               EA,,2,0,-2,40.0,0.0,-40.0,McMaster-Carr - 2998T53 turn buckle,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,,0200,3372T25KIT            EA,,4,0,-4,40.0,0.0,-40.0,McMaster-Carr - 3372T25 kit,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,,0200,BOX                   EA,,1,0,-1,11.0,0.0,-11.0,GRY 2-GNG QP BOX 1/2 & 3,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,,0200,CABLE                 FT,,60,0,-60,123.0,0.0,-123.0,Galvanized cable,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,,0200,CHANNEL               EA,,40,0,-40,358.8,0.0,-358.8,4x13.8,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,,0200,COVER                 EA,,1,0,-1,3.5,0.0,-3.5,GRY 2-GNG WP BLNK CVR,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,,0200,FLAT                  EA,,1,0,-1,58.64,0.0,-58.64,State Steel - 3/8 x 5 flat,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,,0200,KITS                  EA,,4,0,-4,40.0,0.0,-40.0,#3372T25,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,,0200,NETTING               EA,,1,0,-1,25.0,0.0,-25.0,4´ x 50´ Poultry Netting,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,,0200,W12X16                FT,,20,0,-20,208.0,0.0,-208.0,State Steel - W12x16 beam,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,,0300,LIGHTS                EA,,6,0,-6,1944.0,0.0,-1944.0,Adventure Lighting - 75W LED Canopy,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,,0300,POWER                 EA,,14,0,-14,721.28,0.0,-721.28,concorde 100 watt,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.2,2021-02-22,,PO#19268-1 RODERICK,,,1.0,,,4000.0,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.2,,,PO#19268-1 RODERICK   EA,,,1,1,,4000.0,4000.0,-INSTALL CATSCALE CANOPY.,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.2,,0600,INSTALLATION          EA,,1,0,-1,4000.0,0.0,-4000.0,Roderick Sign Co. - installation,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10004.1,,0200,SHIPPING              EA,,1,0,-1,100.0,0.0,-100.0,estimated Pride LED shipping,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10004.1,,0300,LEDS                  EA,,6,0,-6,1091.94,0.0,-1091.94,Pride LED - 300W LED Street Light F,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10004.1,,0600,DISPOSAL              EA,,6,0,-6,30.0,0.0,-30.0,Lamp disposal,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10005.1,,0200,GEMINI                EA,,1,0,-1,2006.58,0.0,-2006.58,Gemini - quote #5578825,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.1,,0200,RECOVERS              EA,,1,0,-1,1975.0,0.0,-1975.0,Heartland Awning & Design - 10/26/2,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.2,2021-05-06,,PO#19639-1 DIVISION,,,1.0,,,2080.0,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.2,,,PO#19639-1 DIVISION   EA,,,1,1,,2080.0,2080.0,PROVIDE NEW MONUMENT SIGN FOOTING P,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.2,,0600,FOOTINGS              EA,,1,0,-1,2080.0,0.0,-2080.0,D3 - quote #2020271,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.3,,0600,STONE                 EA,,1,0,-1,1800.0,0.0,-1800.0,Pyramid Wall Systems - 10/5/2020 qu,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.4,,0200,LETTERS               EA,,1,0,-1,7043.0,0.0,-7043.0,2 sets from steel art,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.4,,0200,SHIP                  EA,,1,0,-1,150.0,0.0,-150.0,letters,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.4,,0200,TAR                   EA,,1,0,-1,50.0,0.0,-50.0,paper,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.4,,0600,NICHIHA               EA,,1,0,-1,4100.0,0.0,-4100.0,Pyramid Wall Systems - 10/5/2020 qu,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10014.2,,5300,PERMIT                EA,,1,0,-1,550.0,0.0,-550.0,Permit fee,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.1,,0500,OVERLAMINATE          EA,,5,0,-5,5.0,0.0,-5.0,clear,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.2,,0500,OVERLAMINATE          SF,,99,0,-99,148.5,0.0,-148.5,Overlaminate,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.3,,0500,OVERLAMINATE          SF,,2,0,-2,3.0,0.0,-3.0,Overlaminate,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10016.1,2020-12-17,,PO#19335-1 UNISHIPPE,,,1.0,,,124.97,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10016.1,,,PO#19335-1 UNISHIPPE  EA,,,1,1,,124.97,124.97,shipping for cat scale.,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10018.1,,0200,MODEM                 EA,,1,0,-1,597.0,0.0,-597.0,watchfire - quote,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10019.1,2021-01-12,,PO#19394-1 BTI LOGIS,,,1.0,,,2650.0,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10019.1,,,PO#19394-1 BTI LOGIS  EA,,,1,1,,2650.0,2650.0,"shipping for cat scale to Meridian,",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10020.1,,0200,MODEM                 EA,,1,0,-1,597.0,0.0,-597.0,watchfire - quote,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.2,,0600,MOUNTING              EA,,8,0,-8,36.0,0.0,-36.0,template,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.2,,0200,GEMINI                EA,,1,0,-1,550.0,0.0,-550.0,Gemini - quote #E298941,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.3,,0200,CORTEN                EA,,1,0,-1,925.0,0.0,-925.0,CSS - quote #Q30739,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.3,,0200,CRATING               EA,,1,0,-1,66.0,0.0,-66.0,Steel Art - quote #195395,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.3,,0200,LETTERS               EA,,1,0,-1,4449.0,0.0,-4449.0,Steel Art - quote #195395,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.3,,0200,SHIPPING              EA,,1,0,-1,200.0,0.0,-200.0,estimated Steel Art shipping charge,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.3,,0200,SHIPPING1             EA,,1,0,-1,250.0,0.0,-250.0,estimated CSS shipping charges,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.3,,0600,FOOTINGS              EA,,1,0,-1,3623.0,0.0,-3623.0,D3 - quote #2021177,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.4,2022-08-01,,PO#21093-1 DIVISION,,,1.0,,,320.0,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.4,,,PO#21093-1 DIVISION   EA,,,1,1,,320.0,320.0,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.4,2022-08-01,,PO#21093-2 DIVISION,,,1.0,,,4166.0,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.4,,,PO#21093-2 DIVISION   EA,,,1,1,,4166.0,4166.0,REVISED QUOTE PROPOSAL #2022064 TO,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.4,,0200,CORTEN                EA,,1,0,-1,997.0,0.0,-997.0,CSS - quote #Q30739 (5/3/22),3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.4,,0200,LETTERS               EA,,1,0,-1,5725.0,0.0,-5725.0,Steel Art - quote #220800,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.4,,0200,SHIPPING              EA,,1,0,-1,250.0,0.0,-250.0,estimated Steel Art shipping charge,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.4,,0200,SHIPPING1             EA,,1,0,-1,300.0,0.0,-300.0,estimated CSS shipping charges,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.4,,0600,FOOTINGS              EA,,1,0,-1,4166.0,0.0,-4166.0,D3 - quote #2022064,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10026.1,2021-01-14,,PO#19420-1 BTI LOGIS,,,1.0,,,2650.0,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10026.1,,,PO#19420-1 BTI LOGIS  EA,,,1,1,,2650.0,2650.0,shipping for cat scale.,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10028.2,,0500,OVERLAMINATE          SF,,9,0,-9,13.5,0.0,-13.5,Overlaminate,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1003.1,2007-07-24,,3920384696 LAKEVILLE,,,0.0,,,223.64,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1003.1,,,3920384696 LAKEVILLE,,,0,0,,223.64,223.64,Salad Creations,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1003.1,2007-08-31,,PO#1020-1 MCNEILL SI,,,1.0,,,2098.84,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1003.1,,,PO#1020-1 MCNEILL SI  EA,,,1,1,,2098.84,2098.84,"Receive,inspect and install 20"" cha",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1003.1,2007-08-31,,PO#1020-2 MCNEILL SI,,,1.0,,,1375.93,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1003.1,,,PO#1020-2 MCNEILL SI  EA,,,1,1,,1375.93,1375.93,Time Clock Installation,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1003.1,,,PO#1020-3 MCNEILL SI  EA,,,0,0,,0.0,0.0,Staff Time,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1003.1,,,PO#1020-4 MCNEILL SI  EA,,,0,0,,0.0,0.0,Permits @ Cost,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1003.1,,,PO#1020-5 MCNEILL SI  EA,,,0,0,,0.0,0.0,Engineering,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1003.1,2007-07-31,,PO#1577-1 NAGLE SIGN,,,1.0,,,450.95,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1003.1,,,PO#1577-1 NAGLE SIGN  EA,,,1,1,,450.95,450.95,rout .04 white aluminum backs and 3,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10031.1,2021-04-16,,PO#19717-1 CARDMEMBE,,,6.0,,,22.98,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10031.1,,,PO#19717-1 CARDMEMBE  EA,,,6,6,,22.98,22.98,Quickrete,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10031.1,,0500,OVERLAMINATE          SF,,35,0,-35,35.0,0.0,-35.0,Overlaminate,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10031.2,2021-04-16,,PO#19717-2 CARDMEMBE,,,6.0,,,22.99,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10031.2,,,PO#19717-2 CARDMEMBE  EA,,,6,6,,22.99,22.99,Quikrete,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10031.2,,0500,OVERLAMINATE          SF,,35,0,-35,35.0,0.0,-35.0,Overlaminate,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10033.1,,0500,OVERLAMINATE          SF,,1,0,-1,1.0,0.0,-1.0,overlaminate,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10034.1,2021-01-12,,PO#19374-1 NAGLE SIG,,,1.0,,,87.5,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10034.1,,,PO#19374-1 NAGLE SIG  EA,,,1,1,,87.5,87.5,Bend returns for Grimes Chiropracti,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10034.3,,0500,VINYL                 SF,,55,0,-55,241.45,0.0,-241.45,"NGlantz - 48"" X 10Y 3M 3635 210 WHI",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10034.7,2021-01-28,,PO#19417-1 NAGLE SIG,,,1.0,,,112.5,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10034.7,,,PO#19417-1 NAGLE SIG  EA,,,1,1,,112.5,112.5,"BEND RETURNS FOR "" CHIROPRACTIC"" 3.",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10042.2,2021-01-28,,PO#19400-1 NAGLE SIG,,,1.0,,,212.5,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10042.2,,,PO#19400-1 NAGLE SIG  EA,,,1,1,,212.5,212.5,Bend letter returns for EXEMPLACARE,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10042.2,2021-01-31,,PO#19458-1 CONTRACTO,,,1.0,,,1401.93,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10042.2,,,PO#19458-1 CONTRACTO  EA,,,1,1,,1401.93,1401.93,PROVIDE 85´ JLG LIFT FOR EAGLE SIGN,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10042.2,,0300,POWER                 EA,,2,0,-2,180.0,0.0,-180.0,France Double pack 60 watt with SW,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10042.2,,0600,TEMPLATE              EA,,24,0,-24,61.2,0.0,-61.2,Mounting Pattern,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10043.3,,0200,BANNER                SF,,30,0,-30,45.0,0.0,-45.0,Signs365.com - 36x120 banner 15oz,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10043.3,,0200,FREIGHT               EA,,1,0,-1,15.0,0.0,-15.0,estimated shipping,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10043.4,,0200,BANNER                SF,,30,0,-30,45.0,0.0,-45.0,Signs365.com - 36x120 banner 15oz,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10043.4,,0200,FREIGHT               EA,,1,0,-1,15.0,0.0,-15.0,estimated shipping,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.1,,0600,LIFT                  EA,,3,0,-3,600.0,0.0,-600.0,rental,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.11,2022-05-24,,PO#20792-3 DIVISION,,,1.0,,,5120.0,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.11,,,PO#20792-3 DIVISION   EA,,,1,1,,5120.0,5120.0,INSTALL NEW MONUMENT SIGN FOOTING A,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.11,,0600,PAD                   EA,,1,0,-1,1463.0,0.0,-1463.0,D3 - quote #2022045 (item 4),3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.11,,0600,SAWCUT                EA,,1,0,-1,816.0,0.0,-816.0,D3 - quote #2022045 (item 2),3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.8,2022-04-30,,PO#20756-1 BAKER ELE,,,1.0,,,260.31,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.8,,,PO#20756-1 BAKER ELE  EA,,,1,1,,260.31,260.31,PROVIDE PRIVATE LOCATES AT MONUMENT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.8,2022-05-24,,PO#20792-1 DIVISION,,,1.0,,,0.0,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.8,,,PO#20792-1 DIVISION   EA,,,1,1,,0.0,0.0,DRILL SEVERAL EXPLORATORY HOLES IN,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.8,2022-05-24,,PO#20792-2 DIVISION,,,1.0,,,0.0,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.8,,,PO#20792-2 DIVISION   EA,,,1,1,,0.0,0.0,CUT 4' X 4' SQUARE PORTION OF PARKI,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.8,,0200,STEEL                 FT,,21,0,-21,827.4,0.0,-827.4,"State Steel - 8 schedule 40 pipe,",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.8,,0600,CAISSON               EA,,10,0,-10,1250.0,0.0,-1250.0,Nagle drill,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10045.8,,0600,RENT                  EA,,4,0,-4,400.0,0.0,-400.0,dump truck,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10047.2,,0500,OVERLAMINATE          SF,,41,0,-41,61.5,0.0,-61.5,Overlaminate,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1005.1,2007-05-24,,PO#1039-1 AIRPORT SI,,,1.0,,,75.0,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1005.1,,,PO#1039-1 AIRPORT SI  EA,,,1,1,,75.0,75.0,"Fabricate one banner 1'-0"" x 3'- 0""",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10051.1,,0600,CABLE                 EA,,1,0,-1,230.0,0.0,-230.0,McMaster - 3450T28 Galvanized Steel,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10051.1,,0600,SHACKLE               EA,,8,0,-8,199.36,0.0,-199.36,McMaster - SHACKLE SPA FGD 3/8,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10052.1,2021-01-14,,PO#19418-1 BTI LOGIS,,,1.0,,,1800.0,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10052.1,,,PO#19418-1 BTI LOGIS  EA,,,1,1,,1800.0,1800.0,shipping for cat scale.,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10053.1,2021-02-12,,PO#19493-1 BTI LOGIS,,,1.0,,,2650.0,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10053.1,,,PO#19493-1 BTI LOGIS  EA,,,1,1,,2650.0,2650.0,shipping for cat scale.,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10055.1,,0500,OVERLAMINATE          SF,,20,0,-20,20.0,0.0,-20.0,Overlaminate,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10056.1,,0200,FACE                  EA,,1,0,-1,844.36,0.0,-844.36,Commercial Plastics - email quote,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10056.1,,0200,FREIGHT               EA,,1,0,-1,114.72,0.0,-114.72,Commercial Plastics - freight,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10061.1,,0500,OVERLAMINATE          SF,,32,0,-32,48.0,0.0,-48.0,Overlaminate,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10064.1,2021-02-09,,PO#19491-1 UNISHIPPE,,,1.0,,,125.79,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10064.1,,,PO#19491-1 UNISHIPPE  EA,,,1,1,,125.79,125.79,shipping for cat scale,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10065.1,2021-01-31,,PO#19464-1 BTI LOGIS,,,1.0,,,900.0,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10065.1,,,PO#19464-1 BTI LOGIS  EA,,,1,1,,900.0,900.0,shipping for cat scale,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10067.1,,0600,TEMPLATE              EA,,21,0,-21,53.55,0.0,-53.55,Mounting Pattern,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10067.2,,0600,TEMPLATE              EA,,21,0,-21,53.55,0.0,-53.55,Mounting Pattern,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10067.3,,5300,PERMIT                EA,,3,0,-3,225.0,0.0,-225.0,Permit fee,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10067.5,,0400,METALLIC              EA,,1,0,-1,150.0,0.0,-150.0,AI Innovations - upcharge for metal,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10067.7,,0200,LETTERS               EA,,1,0,-1,823.0,0.0,-823.0,Steel Art - quote #201015,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1007.1,2007-05-31,,PO#1043-1 NAGLE SIGN,,,1.0,,,1551.5,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1007.1,,,PO#1043-1 NAGLE SIGN  EA,,,1,1,,1551.5,1551.5,"Remove ""Microtel Inn & Suites"" chan",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1007.1,,0600,HARDWARE              EA,,3,0,-3,30.0,0.0,-30.0,Misc,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10071.1,,0200,CORNERS               EA,,8,0,-8,12.96,0.0,-12.96,Thrif frame,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10071.1,,0200,EMC                   EA,,1,0,-1,4264.89,0.0,-4264.89,watchfire - quote #2021391.0,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10073.1,2021-01-31,,PO#19463-1 MIDWEST S,,,1.0,,,70.74,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10073.1,,,PO#19463-1 MIDWEST S  EA,,,1,1,,70.74,70.74,"Pronto 6"" Condensed Punctuation Set",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10073.1,,0200,PUNCTUATION           EA,,1,0,-1,44.08,0.0,-44.08,"Midwest - (50) ct 6"" punctuation se",3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10073.1,,0200,SHIPPING              EA,,1,0,-1,25.0,0.0,-25.0,estimated MidWest shipping,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10076.1,,0300,30                    EA,,2,0,-2,36.46,0.0,-36.46,Grimco - HanleyLED PhoenixNRG Bar -,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10076.1,,0300,36                    EA,,1,0,-1,21.87,0.0,-21.87,Grimco - HanleyLED PhoenixNRG Bar -,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10076.1,,0300,42                    EA,,4,0,-4,102.08,0.0,-102.08,Grimco - HanleyLED PhoenixNRG Bar -,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
